id,title,abstract,keywords,pub_date,search_terms
37599188,"Prophylactic Platelet Transfusion: Is There Evidence of Benefit, Harm, or No Effect?","The optimal use of prophylactic platelet transfusion remains uncertain in a number of clinical scenarios. Platelet count thresholds have been established in patients with hematologic malignancies, yet thresholds backed by scientific data are limited or do not exist for many patient populations. Clinical scenarios involving transfusion thresholds for thrombocytopenic patients with critical illness, need for surgery or invasive procedures, or those involving specials populations like children and neonates, lack clear evidence for discerning favorable outcomes without undue risk related to platelet transfusion. In addition, while prophylactic platelet transfusions are administered with the goal of enhancing hemostasis, increasing evidence supports critical nonhemostatic roles for platelets related to innate and adaptive immunity, inflammation, and angiogenesis, which may impact patient responses and outcomes. Here we review several recent studies conducted in adult or pediatric patients that highlight the limitations in our current understanding of prophylactic platelet transfusion. Together, these studies underscore the need for additional research, especially in the form of robust randomized clinical trials and integrating additional parameters beyond the platelet count. Future research at the basic, translational, and clinical levels will best define the optimal role for prophylactic transfusion across the lifespan and its broader impact on health and disease.","['Bleeding', 'Platelets', 'Prophylaxis', 'Thrombocytopenia', 'Transfusion']",2023-06-06,['lung cancer']
37599163,PET-CT SUVmax and Endobronchial Ultrasound Features for Prediction of Malignancy: A Prospective Study.,"Accurate and early staging of lung cancer has a critical impact on its prognosis. EBUS-TBNA is often the procedure of choice for mediastinal staging. Comprehension of the likelihood of malignancy of each lymph node (LN) can assist puncture decision-making during EBUS and offer insight of the procedure expected diagnostic yield. Prospective analysis of mediastinal LN of patients undergoing EBUS-TBNA from April 2021 to May 2022. The relationship between PET-CT SUVmax levels, EBUS features, and malignancy on LN was investigated. For statistical analysis, patients were assigned to 3 groups: suspected malignancy (diagnosis and/or staging), confirmed malignancy (staging) or suspected benign disease. A total of 363 LN from 132 patients (71% male, mean 62 years old) were analyzed. Among those with suspected benign disease, no LN puncture resulted in a diagnosis of malignancy. PET-CT SUVmax and short axis size were independent factors for malignancy in LN of patients who underwent EBUS for suspected (p < .001 and p = .047, respectively) or confirmed malignancy (p < .001 and p < .001, respectively). All malignant LN presented SUVmax≥1.85 (≥2.85 for staging EBUS cases) and/or short axis size ≥4.28mm. Vascularized LN were more often malignant in either those with suspected (p = .087) or confirmed (p = .095) malignancy, although not statistically significant. LN that were simultaneously vascularized and lacked central hilar structure were also more commonly malignant (p = .013). LN that has higher SUVmax and are larger should be prioritized for puncture, followed by those vascularized and lacking central hilar structure. In staging EBUS cases, a systematic sampling (N3-N2-N1) is required and must precede any malignancy yield rationale.","['Bronchoscopy, EBUS-TBNA', 'Lung cancer, PET-CT', 'Lymph node', 'Mediastinal staging', 'SUV(max)']",2023-06-13,['lung cancer']
37599160,Dual-Centre Harmonised Multimodal Positron Emission Tomography/Computed Tomography Image Radiomic Features and Machine Learning Algorithms for Non-small Cell Lung Cancer Histopathological Subtype Phenotype Decoding.,"We aimed to build radiomic models for classifying non-small cell lung cancer (NSCLC) histopathological subtypes through a dual-centre dataset and comprehensively evaluate the effect of ComBat harmonisation on the performance of single- and multimodality radiomic models. A public dataset of NSCLC patients from two independent centres was used. Two image fusion methods, namely guided filtering-based fusion and image fusion based on visual saliency map and weighted least square optimisation, were used. Radiomic features were extracted from each scan, including first-order, texture and moment-invariant features. Subsequently, ComBat harmonisation was applied to the extracted features from computed tomography (CT), positron emission tomography (PET) and fused images to correct the centre effect. For feature selection, least absolute shrinkage and selection operator (Lasso) and recursive feature elimination (RFE) were investigated. For machine learning, logistic regression (LR), support vector machine (SVM) and AdaBoost were evaluated for classifying NSCLC subtypes. Training and evaluation of the models were carried out in a robust framework to offset plausible errors and performance was reported using area under the curve, balanced accuracy, sensitivity and specificity before and after harmonisation. N-way ANOVA was used to assess the effect of different factors on the performance of the models. Support vector machine fed with selected features by recursive feature elimination from a harmonised PET feature set achieved the highest performance (area under the curve = 0.82) in classifying NSCLC histopathological subtypes. Although the performance of the models did not significantly improve for CT images after harmonisation, the performance of PET and guided filtering-based fusion feature signatures significantly improved for almost all models. Although the selection of the image modality and feature selection methods was effective on the performance of the model (ANOVA P-values <0.001), machine learning and harmonisation did not change the performance significantly (ANOVA P-values = 0.839 and 0.292, respectively). This study confirmed the potential of radiomic analysis on PET, CT and hybrid images for histopathological classification of NSCLC subtypes.","['Histopathology', 'NSCLC', 'PET/CT', 'machine learning', 'radiomics']",2022-09-27,['lung cancer']
37599084,Development of a simple high-performance liquid chromatography-ultraviolet method for sotorasib quantification in human plasma: Implications for therapeutic drug monitoring.,"Sotorasib, an oral small-molecule inhibitor, reportedly exerts promising activity against Kirsten rat sarcoma viral oncogene homolog (KRAS)-mutant tumors. However, the currently administered dose may fail to represent the optimal dose based on the therapeutic efficacy. Herein, we developed a simple and sensitive method using high-performance liquid chromatography with ultraviolet (HPLC-UV) to measure the sotorasib concentration in human plasma. The sotorasib calibration curve exhibited linearity across the concentration range of 0.10-20.0 μg/mL (r2 = 0.9999). The coefficients of intra- and inter-day validation ranged between 0.79-9.75% and 3.01-6.13%, respectively. The assay accuracy ranged between -3.14 and 5.18%, with > 98.5% recovery. Subsequently, we applied the developed method to estimate sotorasib concentrations in a patient with KRAS G12C-mutated non-small cell lung cancer. We anticipate that our HPLC-UV method will be valuable for assessing the safety and efficacy of sotorasib in larger patient cohorts.","['HPLC', 'KRASG12C mutation', 'non-small cell lung cancer', 'sotorasib', 'therapeutic drug monitoring']",,['lung cancer']
37599064,Recent trends in radiotherapy use for major cancers in Korea.,"Although the trend in radiotherapy in all cancer patients has been studied, changes in radiotherapy modalities for specific cancer types have not been reported. This study aimed to analyze radiotherapy patterns for major cancers in Korea in recent years. We collected data from claims and reimbursement records of the Health and Insurance Review and Assessment Service from 2017 to 2020, according to initial diagnostic codes. The radiotherapy modalities for major cancers, such as lung, stomach, colorectal, breast and liver cancer, were analyzed. The radiotherapy modalities consisted of two-dimensional radiotherapy, three-dimensional conformal radiotherapy, intensity-modulated radiotherapy, proton radiotherapy and stereotactic body radiotherapy. Overall, from 2017 to 2020, the use of two-dimensional radiotherapy and three-dimensional conformal radiotherapy decreased, and intensity-modulated radiotherapy increased. In 2017, three-dimensional conformal radiotherapy accounted for approximately half of the radiotherapy in patients for lung and colorectal cancer, which was replaced by intensity-modulated radiotherapy in 2020. In 2020, stereotactic body radiotherapy also accounted for a large proportion of radiotherapy used in liver cancer cases. Intensity-modulated radiotherapy was most used, followed by three-dimensional conformal radiotherapy and two-dimensional radiotherapy for breast cancer in 2020. Among major cancers, radiotherapy utilization for breast cancer is the highest. Compared with other cancers, the number of patients receiving radiotherapy for stomach cancer was low. The number of patients receiving radiotherapy for major cancers has increased. The use of advanced forms of radiotherapy, such as intensity-modulated radiotherapy, is rapidly increasing for major cancers. The rate of radiotherapy utilization was higher in major cancer patients than in all cancer patients.","['Korea', 'breast cancer', 'liver cancer', 'lung cancer', 'radiotherapy']",2023-04-21,['lung cancer']
37598976,Regulation of cytokinesis and necroptosis pathways by diosgenin inhibits the proliferation of NCI-H460 lung cancer cells.,"Aim Overcoming resistance to apoptosis and antimitotic chemotherapy is crucial for effective treatment of lung cancer. Diosgenin (DG), a promising phytochemical, can regulate various molecular pathways implicated in tumor formation and progression. However, the precise biological activity of DG in lung cancer remains unclear. This study aimed to investigate the antiproliferative activity of DG in NCI-H460 lung carcinoma cells to explore the underlying antimitotic mechanisms and alternative cell death pathways. In a 2D culture system, we analyzed cell viability, multinucleated cell frequency, cell concentration, cell cycle changes, cell death induction, intracellular reactive oxygen species (ROS) production, and nuclear DNA damage, particularly in relation to target gene expression. We also evaluated the antiproliferative activity of DG in a 3D culture system of spheroids, assessing volume changes, cell death induction, and inhibition of proliferation recovery and clonogenic growth. DG reduced cell viability and concentration while increasing the frequency of cells with multiple nuclei, particularly binucleated cells resulting from daughter cell fusion. This effect was associated with genes involved in cytokinesis regulation (RAB35, OCRL, BIRC5, and AURKB). Additionally, DG-induced cell death was linked to necroptosis, as evidenced by increased intracellular ROS production and RIPK3, MLKL, TRAF2, and HSPA5 gene expression. In tumor spheroids, DG increased spheroid volume, induced cell death, and inhibited proliferation recovery and clonogenic growth. Our study provides new insights into the biological activities of DG in lung cancer cells, contributing to the development of novel oncological therapies.","['Cytokinesis', 'Necrosis', 'Phytochemical', 'Polyploid', 'Sapogenin']",2023-06-01,['lung cancer']
37598823,Cetuximab-based PROteolysis targeting chimera for effectual downregulation of NSCLC with varied EGFR mutations.,"PROteolysis Targeting Chimeras (PROTACs) showed tremendous therapeutic potential in degrading several oncoproteins including undruggable proteins. PROTACs are bifunctional molecules where one-part binds to target protein while the other end recruits protein degradation machinery. With the unveiling advancements in the field of PROTACs, we explored a combinatorial approach by developing antibody-based PROTAC (ABTAC) which may effectively degrade one of the key oncoprotein driving proliferation and progression of cancer - Epidermal growth factor receptor (EGFR). The objective of current research was to synthesize and characterize an EGFR degrading ABTAC for the treatment of non-small cell lung cancer (NSCLC). Cetuximab and pomalidomide (E3 ligase recruiting ligand) were conjugated using lysine conjugation and copper free azide-alkyne cycloaddition (CuAAC) click chemistry. Analytical characterization using reverse-phase liquid chromatography and mass spectrometry suggested conjugation of five E3-ligase inhibitor molecules/antibody. Nearly 10-30 folds reduction in IC50 was observed with ABTAC in HCC827 (EGFR sensitive) and H1650 (EGFR resistant) cells compared to cetuximab. Multicellular 3D spheroid assay strongly suggested that ABTAC induced significant apoptosis and also inhibited cell proliferation compared to control and antibody alone. Circular dichroism and surface plasmon resonance (SPR) confirmed minor alterations in the structure and receptor binding efficacy of the antibody post-conjugation.","['ABTAC', 'Antibody-drug conjugate', 'Cetuximab', 'Click chemistry', 'Non-small cell lung cancer', 'PROTAC']",2023-05-16,['lung cancer']
37598676,Prognostic Potential of the Prognostic Nutritional Index in Non-Small Cell Lung Cancer Patients Receiving Pembrolizumab Combination Therapy with Carboplatin and Paclitaxel/Nab-Paclitaxel.,"Pembrolizumab (Pemb) therapy in conjunction with carboplatin and paclitaxel (PTX)/nab-PTX has been efficacious in treating non-small-cell lung cancer (NSCLC). However, the response predictors of this combination therapy (Pemb-combination) remain undetermined. We aimed to evaluate whether Glasgow prognostic score (GPS), neutrophil-to-lymphocyte ratio (NLR), body mass index (BMI), platelet-to-lymphocyte ratio (PLR), and prognostic nutritional index (PNI) are potential factors in prognosticating the response to Pemb-combination therapy in advanced NSCLC patients. We retrospectively recruited 144 NSCLC patients receiving first-line treatment with Pemb-combination therapy from 13 institutions between December 1, 2018, and December 31, 2020. GPS, NLR, BMI, PLR, and PNI were assessed for their efficacy as prognostic indicators. Cox proportional hazard models and the Kaplan-Meier method were used to compare the progression-free survival (PFS) and overall survival (OS) of the patients. The treatment exhibited a response rate of 63.1% (95% confidence interval [CI]: 55.0-70.6%). Following Pemb-combination administration, the median PFS and OS were 7.3 (95% CI: 5.3-9.4) and 16.5 (95% CI: 13.9-22.1) months, respectively. Contrary to PNI, NLR, GPS, BMI, and PLR did not display substantially different PFS in univariate analysis. However, multivariate analysis did not identify PNI as an independent prognostic factor for PFS. Furthermore, univariate analysis revealed that GPS, BMI, and PLR exhibited similar values for OS but not NLR and PNI. Patients with PNI ≥45 were predicted to have better OS than those with PNI <45 (OS: 23.4 and 13.9 months, respectively, p=0.0028). Multivariate analysis did not establish NLR as an independent prognostic factor for OS. The PNI evidently predicted OS in NSCLC patients treated with Pemb-combination as first-line therapy, thereby validating its efficiency as a prognostic indicator of NSCLC.",[],2023-05-24,['lung cancer']
37598649,Lung cancer in nonsmokers- A risk factor analysis.,"STONY BROOK MEDICAL CENTERRATIONALE: Lung Cancer screening for the high-risk smoking population has been proven to save lives. However, in 2022, 20% of newly diagnosed lung cancers (47,300) were in nonsmokers. These patients were found to be diagnosed at later stages. This may be at least partly due to not meeting criteria for and participating in current lung cancer screening. This study aims to describe characteristics of a never smoker patient population to help identify common risk factors which might merit inclusion in lung cancer screening and thus improve patient outcomes. This retrospective single center study included never-smoker patients diagnosed with lung nodules and never-smoker patients diagnosed with lung cancer from 2016 to 2022. Data was obtained from the Stony Brook Medical Center electronic medical record. 16,056 patients were identified as never-smokers who were asked by the medical assistant if they ever smoked in their lifetime. Patients were eliminated if they had any smoking history up to first diagnosis date. Demographics, radiology, histology, diagnosis dates, comorbidities, smoking status, and exposures collected through ICD10 codes and not self-reported, were investigated. Of 16,056 never-smoking patients, 9315 (58.02%) were females diagnosed with lung nodules and 6741 (41.98%) were males diagnosed with lung nodules. The univariate analysis showed significant differences between gender, age at nodule diagnosis, and patients with and without comorbidities including chronic obstructive pulmonary disease (COPD), hypertension (HTN), and family history (FHX) of lung cancer. The percentage of lung cancer patients among females was significantly higher than among males. Patients having lung cancer were older. The percentages of lung cancer patients with these comorbidities were significantly higher than those without. However, there was no significant difference found between patients with and without diabetes mellitus (DM). The multivariable logistic regression suggested that age at nodule diagnosis and comorbidities including COPD (which included asthma, emphysema and chronic bronchitis) and family history of lung cancer were significantly associated with lung cancer. Older patients and patients with those comorbidities had a higher risk of developing cancer than those who were younger or without those comorbidities. The study excluded HTN and included age at nodule diagnosis in the logistic regression model as HTN was found to be protective against lung cancer due to age at lung nodule diagnosis. Please refer to the appendix for further details. Never-smoker patients who were older and with COPD and Family History of lung cancer had higher risk of developing lung cancer than younger patients without these comorbidities. In this study, gender had no impact on outcome.","['Lung neoplasm (D008175)', 'NLM class WF 658']",2023-05-19,['lung cancer']
37598630,Treatment-related adverse events of immune checkpoint inhibitors combined with angiogenesis inhibitors in advanced lung cancer: A systematic review and meta-analysis.,"Immune checkpoint inhibitors (ICIs) with angiogenesis inhibitors have been used to treat advanced lung cancer. Their associated treatment-related adverse events (trAEs) are currently considered acceptable; however, no conclusion has been reached. We aimed to summarize the trAEs caused by ICIs combined with angiogenesis inhibitors in patients with advanced lung cancer. Pulled studies met the following criteria: patients with advanced lung cancer who received treatment involving ICIs combined with angiogenesis inhibitors (with or without chemotherapy) in interventional or observational studies. Results included the type and number of trAEs or immune-related adverse events (irAEs), treatment-associated discontinuation and mortality, overall survival (OS), and progression-free survival (PFS). CRD42022337656. The study enrolled 32 trials involving 2313 patients who had 7768 any-grade trAEs and 1078 grade ≥3 trAEs. The pooled incidences were 87.33% (95% confidence interval [CI]: 79.49-93.65; I2 = 94.04%) for any-grade trAEs, and 38.63% (95% CI: 28.28-49.50; I2 = 95.61%) for grade ≥3 trAEs. There were 132 kinds of any-grade trAEs involving 18 systems, and 99 kinds of grade ≥3 trAEs involving 16 systems. For all trAEs, we observed significant differences in the line of therapy, trial design, therapy combination, and types of angiogenesis inhibitors (all P < 0.05). The rate of trAEs increased with dosage and frequency of medication. Pooled incidences of discontinuation and mortality were 10.64% and 0.81%, respectively. Nearly 647 patients experienced irAEs, including 636 any-grade irAEs and 154 grade ≥3 irAEs. Overall, the incidence of trAEs caused by ICIs combined with angiogenesis inhibitors is generally acceptable. These trAEs have a wide spectrum nearly covering the full range of adverse events. Grade ≥3 trAEs are more closely associated with angiogenesis inhibitors than any grade. However, treatment-associated mortality remains concerning.","['Adverse events', 'Angiogenesis inhibitors', 'Immune checkpoint inhibitors', 'Lung cancer', 'Meta-analysis']",2023-02-20,['lung cancer']
