id,title,abstract,keywords,pub_date,search_terms
37253410,Metformin protects against retinal ischemia/reperfusion injury through AMPK-mediated mitochondrial fusion.,"Retinal ischemia/reperfusion (I/R) injury is a common pathological process responsible for cellular damage in glaucoma, diabetic retinopathy and hypertensive retinopathy. Metformin is a biguanide drug that exerts strong effects on multiple diseases. This study aims to evaluate the protective effect of metformin against retinal I/R injury and its underlying mechanism. I/R induced reduction in retina thickness and cell number in ganglion cell layer, and metformin alleviated I/R-induced retinal injury. Both retinal I/R and simulated ischemia/reperfusion (SIR) in R28 cells down-regulated expression of mitochondrial fusion protein Mfn2 and OPA1, which led to mitochondrial fission. Metformin also alleviated damage in R28 cells, and reversed the alteration in Mfn2 and OPA1, mitochondrial fission and mitochondrial membrane potential (MMP) disruption-induced by I/R or SIR as well. Intriguingly, inhibition of AMPK by compound C or siRNA prevented metformin-mediated up-regulation of Mfn2 and OPA1. Compound C and knockdown of Mfn2 or OPA1 dramatically alleviated the protective effect of metformin against intracellular ROS generation, MMP disruption, mitochondrial fission and loss of RGCs in ganglion cell layer-induced by SIR or I/R. Moreover, scavenging mitochondrial ROS (mito-ROS) by mito-TEMPO exerted the similar protection against I/R-induced retinal injury or SIR-induced damage in R28 cells as metformin. Our data show for the first time that metformin protects against retinal I/R injury through AMPK-mediated mitochondrial fusion and the decreased mito-ROS generation. These findings might also repurpose metformin as a therapeutic agent for retinal I/R injury.","['AMPK', 'Metformin', 'Mitochondrial dynamics', 'Reactive oxygen species', 'Retinal ischemia/reperfusion injury']",2023-03-26,"['ischemia', 'reperfusion']"
37252276,Ginsenoside compound K protects against cerebral ischemia/reperfusion injury via Mul1/Mfn2-mediated mitochondrial dynamics and bioenergy.,"Ginsenoside compound K (CK), the main active metabolite in Panax ginseng, has shown good safety and bioavailability in clinical trials and exerts neuroprotective effects in cerebral ischemic stroke. However, its potential role in the prevention of cerebral ischemia/reperfusion (I/R) injury remains unclear. Our study aimed to investigate the molecular mechanism of ginsenoside CK against cerebral I/R injury.We used a combination of in vitro and in vivo models, including oxygen and glucose deprivation/reperfusion induced PC12 cell model and middle cerebral artery occlusion/reperfusion induced rat model, to mimic I/R injury. Intracellular oxygen consumption and extracellular acidification rate were analyzed by Seahorse multifunctional energy metabolism system; ATP production was detected by luciferase method. The number and size of mitochondria were analyzed by transmission electron microscopy and MitoTracker probe combined with confocal laser microscopy. The potential mechanisms of ginsenoside CK on mitochondrial dynamics and bioenergy were evaluated by RNA interference, pharmacological antagonism combined with co-immunoprecipitation analysis and phenotypic analysis.Ginsenoside CK pretreatment could attenuate mitochondrial translocation of DRP1, mitophagy, mitochondrial apoptosis, and neuronal bioenergy imbalance against cerebral I/R injury in both in vitro and in vivo models. Our data also confirmed that ginsenoside CK administration could reduce the binding affinity of Mul1 and Mfn2 to inhibit the ubiquitination and degradation of Mfn2, thereby elevating the protein level of Mfn2 in cerebral I/R injury.These data provide evidence that ginsenoside CK may be a promising therapeutic agent against cerebral I/R injury via Mul1/Mfn2-mediated mitochondrial dynamics and bioenergy.","['Bioenergy', 'Cerebral ischemia/reperfusion injury', 'Ginsenoside compound K', 'Mitochondrial dynamics', 'Mul1/Mfn2 ubiquitination']",2022-06-06,"['ischemia', 'reperfusion']"
37251826,Non-coding RNA mediates endoplasmic reticulum stress-induced apoptosis in heart disease.,"Apoptosis is a complex and highly self-regulating form of cell death, which is an important cause of the continuous decline in ventricular function and is widely involved in the occurrence and development of heart failure, myocardial infarction, and myocarditis. Endoplasmic reticulum stress plays a crucial role in apoptosis-inducing. Accumulation of misfolded or unfolded proteins causes cells to undergo a stress response called unfolded protein response (UPR). UPR initially has a cardioprotective effect. Nevertheless, prolonged and severe ER stress will lead up to apoptosis of stressed cells. Non-coding RNA is a type of RNA that does not code proteins. An ever-increasing number of studies have shown that non-coding RNAs are involved in regulating endoplasmic reticulum stress-induced cardiomyocyte injury and apoptosis. In this study, the effects of miRNA and LncRNA on endoplasmic reticulum stress in various heart diseases were mainly discussed to clarify their protective effects and potential therapeutic strategies for apoptosis.","['Apoptosis', 'Endoplasmic reticulum stress', 'Heart disease', 'Ischemia/reperfusion', 'Non-coding RNA', 'microRNA']",2022-09-30,"['ischemia', 'reperfusion']"
37251271,E-Selectin/AAV Gene Therapy Promotes Myogenesis and Skeletal Muscle Recovery in a Mouse Hindlimb Ischemia Model.,"The response to ischemia in peripheral artery disease (PAD) depends on compensatory neovascularization and coordination of tissue regeneration. Identifying novel mechanisms regulating these processes is critical to the development of nonsurgical treatments for PAD. E-selectin is an adhesion molecule that mediates cell recruitment during neovascularization. Therapeutic priming of ischemic limb tissues with intramuscular E-selectin gene therapy promotes angiogenesis and reduces tissue loss in a murine hindlimb gangrene model. In this study, we evaluated the effects of E-selectin gene therapy on skeletal muscle recovery, specifically focusing on exercise performance and myofiber regeneration. C57BL/6J mice were treated with intramuscular E-selectin/adeno-associated virus serotype 2/2 gene therapy (E-sel/AAV) or LacZ/AAV2/2 (LacZ/AAV) as control and then subjected to femoral artery coagulation. Recovery of hindlimb perfusion was assessed by laser Doppler perfusion imaging and muscle function by treadmill exhaustion and grip strength testing. After three postoperative weeks, hindlimb muscle was harvested for immunofluorescence analysis. At all postoperative time points, mice treated with E-sel/AAV had improved hindlimb perfusion and exercise capacity. E-sel/AAV gene therapy also increased the coexpression of MyoD and Ki-67 in skeletal muscle progenitors and the proportion of Myh7+ myofibers. Altogether, our findings demonstrate that in addition to improving reperfusion, intramuscular E-sel/AAV gene therapy enhances the regeneration of ischemic skeletal muscle with a corresponding benefit on exercise performance. These results suggest a potential role for E-sel/AAV gene therapy as a nonsurgical adjunct in patients with life-limiting PAD.",[],2023-02-15,"['ischemia', 'reperfusion']"
37249913,Insufficient oxygen inhalation during cardiopulmonary resuscitation induces early changes in hemodynamics followed by late and unfavorable systemic responses in post-cardiac arrest rats.,"Cardiac arrest (CA) and concomitant post-CA syndrome lead to a lethal condition characterized by systemic ischemia-reperfusion injury. Oxygen (O2 ) supply during cardiopulmonary resuscitation (CPR) is the key to success in resuscitation, but sustained hyperoxia can produce toxic effects post CA. However, only few studies have investigated the optimal duration and dosage of O2 administration. Herein, we aimed to determine whether high concentrations of O2 at resuscitation are beneficial or harmful. After rats were resuscitated from the 10-min asphyxia, mechanical ventilation was restarted at an FIO2 of 1.0 or 0.3. From 10 min after initiating CPR, FIO2 of both groups were maintained at 0.3. Bio-physiological parameters including O2 consumption (VO2 ) and mRNA gene expression in multiple organs were evaluated. The FIO2 0.3 group decreased VO2 , delayed the time required to achieve peak MAP, lowered ejection fraction (75.1 ± 3.3% and 59.0 ± 5.7% with FIO2 1.0 and 0.3, respectively; p < .05), and increased blood lactate levels (4.9 ± 0.2 mmol/L and 5.6 ± 0.2 mmol/L, respectively; p < .05) at 10 min after CPR. FIO2 0.3 group had significant increases in hypoxia-inducible factor, inflammatory, and apoptosis-related mRNA gene expression in the brain. Likewise, significant upregulations of hypoxia-inducible factor and apoptosis-related gene expression were observed in the FIO2 0.3 group in the heart and lungs. Insufficient O2 supplementation in the first 10 min of resuscitation could prolong ischemia, and may result in unfavorable biological responses 2 h after CA. Faster recovery from the impairment of O2 metabolism might contribute to the improvement of hemodynamics during the early post-resuscitation phase; therefore, it may be reasonable to provide the maximum feasible O2 concentrations during CPR.","['cardiopulmonary resuscitation', 'heart arrest', 'hyperoxia', 'ischemia', 'oxygen consumption', 'reperfusion injury']",2022-12-15,"['ischemia', 'reperfusion']"
37249897,NR4A1 Aggravates Myocardial Ischaemia-Reperfusion Injury by Inhibiting OPA1-Mediated Mitochondrial Fusion.,"Mitochondrial fusion is an important process that protects the myocardium. However, mitochondrial fusion is often inhibited in myocardial ischaemia-reperfusion injury (IR). The upstream mechanism of this effect is unclear. Nuclear receptor subfamily 4 group A member 1 (NR4A1) can aggravate myocardial IR and increase the level of oxidative stress, thereby affecting mitochondrial function and morphology. Inhibiting NR4A1 can improve oxidative stress levels and mitochondrial function and morphology, thereby reducing IR. Downregulating NR4A1 increases the expression level of the mitochondrial fusion-related protein optic atrophy 1 (OPA1), which is associated with these benefits. Inhibiting OPA1 expression with MYLS22 abrogates the effects of NR4A1 downregulation on IR. Furthermore, NR4A1 disrupts mitochondrial dynamics and activates the STING and NF-κB pathways. Insufficient mitochondrial fusion and increased apoptosis and inflammatory reactions worsen irreversible damage to cardiomyocytes. In conclusion, NR4A1 can exacerbate IR by inhibiting OPA1, causing mitochondrial damage.","['Mitochondria', 'Myocardial ischaemia–reperfusion injury', 'NR4A1', 'OPA1', 'Oxidative stress']",2022-12-03,"['ischemia', 'reperfusion']"
37249725,Revascularization and angiogenesis for bone bioengineering in the craniofacial region: a review.,"The revascularization of grafted tissues is a complicated and non-straightforward process, which makes it challenging to perform reconstructive surgery for critical-sized bone defects. This challenge is combined with the low vascularity that results from radiotherapy. This low vascularity could result from ischemia-reperfusion injuries, also known as ischemia which may happen upon grafting. Ischemia may affect the hard tissue during reconstruction, and this can often cause resorption, infections, disfigurement, and malunion. This paper therefore reviews the clinical and experimental application of procedures that were employed to improve the reconstructive surgery process, which would ensure that the vascularity of the tissue is maintained or enhanced. It also presents the key strategies that are implemented to perform tissue engineering within the grafted sites aiming to optimize the microenvironment and to enhance the overall process of neovascularization and angiogenesis. This review reveals that the current strategies, according to the literature, are the seeding of the mature and progenitor cells, use of extracellular matrix (ECM), co-culturing of osteoblasts with the ECM, growth factors and the use of microcapillaries incorporated into the scaffold design. However, due to the unstable and regression-prone capillary structures in bone constructs, further research focusing on creating long-lasting and stable blood vessels is required.","['Bioengineering', 'Ischemia–reperfusion injuries', 'Mesenchymal stromal cells', 'Neovascularization', 'Reconstructive surgery', 'Revascularization']",2022-12-12,"['ischemia', 'reperfusion']"
37249560,Myocardial protection in paediatric cardiac surgery: building an evidence-based strategy.,"Cardioplegia is fundamental to the surgical repair of congenital heart defects by protecting the heart against ischaemia/reperfusion injury, characterised by low cardiac output and troponin release in the early postoperative period. The immature myocardium exhibits structural, physiological and metabolic differences from the adult heart, with a greater sensitivity to calcium overload-mediated injury during reperfusion. Del Nido cardioplegia was designed specifically to protect the immature heart, is widely used in North America and may provide better myocardial protection in children; however, it has not been commercially available in the UK, where most centres use St Thomas' blood cardioplegia. There are no phase 3 clinical trials in children to support one solution over another and this lack of evidence, combined with variations in practice, suggests the presence of clinical equipoise. The best cardioplegia solution for use in children, and the impact of age and other clinical factors remain unknown. In this Hunterian lecture, I propose an evidence-based strategy to improve myocardial protection during cardiac surgery in children through: (1) conducting multicentre clinical trials of established techniques; (2) improving our knowledge of ischaemia/reperfusion injury in the setting of cardioplegic arrest; (3) applying this to drive innovation, moving beyond current cardioplegia solutions; (4) empowering personalised medicine, through combining clinical and genomic data, including ethnic diversity; and (5) understanding the impact of cardioplegic arrest on the late outcomes that matter to patients and their families.","['Cardiac surgery', 'Cardioplegia', 'Children', 'Myocardial protection']",,"['ischemia', 'reperfusion']"
37249366,The plant-derived alkaloid aloperine prevents ischemia/reperfusion injury-induced sudden cardiac death.,"Sudden cardiac death (SCD) remains a major cause of global mortality. In addition to modern interventions, botanical folk medicines have long been used to treat cardiovascular disease, although the efficacy and underlying mechanisms are often unresolved. Aloperine, a bioactive quinolizidine alkaloid isolated from Sophora alopecuroides plants, exhibits antioxidant, anti-inflammatory, antitumor, and vasorelaxant properties, but possible antiarrhythmic effects of aloperine in SCD are unclear. Here, we examined whether aloperine protects against ischemia and reperfusion injury-associated lethal ventricular arrhythmia and sudden cardiac death. Rats were divided into sham, control, and aloperine groups, and reperfusion-provoked ventricular arrhythmogenesis, cardiac damage markers, and signaling pathways quantified following left main coronary artery ischemia and reperfusion. In vitro studies of effects of aloperine on hERG and Kv4.3 cardiac voltage-gated potassium (Kv) channels were performed using two-electrode voltage clamp analysis of cloned channels expressed in Xenopus laevis oocytes. Aloperine pretreatment (10 mg/kg) did not affect baseline cardiac electrical stability; yet, it reduced ventricular arrhythmogenesis and susceptibility to SCD (mortality rate: control: 64.3%; aloperine: 0%) induced by reperfusion injury. Aloperine also reduced serum levels of LDH, CK-MB, α-HBDH, and cTnI post-I/R, and stimulated phosphorylation of ventricular ERK1/2 and STAT-3, which are key components of RISK and SAFE signaling pathways. Inhibition of either ERK1/2 (with U0126) or STAT-3 (with Ag490) abolished aloperine-induced anti-arrhythmic effects and ERK1/2 and STAT-3 phosphorylation. Interestingly, while aloperine (100 μM) had no effect on cloned Kv4.3 activity, aloperine (1 μM and up) negative-shifted the voltage dependence of hERG activation by ~10 mV and increased peak hERG current by 35%. Thus, aloperine exerts striking anti-arrhythmic effects against myocardial ischemia and reperfusion injury-induced severe lethal ventricular arrhythmia and sudden cardiac death via the ERK1/2/STAT-3 signaling pathway, with potential additional contribution from increased cardiac myocyte repolarization capacity via augmented hERG activity.","['\nSophora\n', 'ERK1/2', 'STAT3', 'arrhythmia']",2023-02-12,"['ischemia', 'reperfusion']"
37249015,Spatial Multiplexed Protein Profiling of Cardiac Ischemia-Reperfusion Injury.,"Reperfusion therapy is critical to myocardial salvage in the event of a myocardial infarction but is complicated by ischemia-reperfusion injury (IRI). Limited understanding of the spatial organization of cardiac cells, which governs cellular interaction and function, has hindered the search for targeted interventions minimizing the deleterious effects of IRI.We used imaging mass cytometry to characterize the spatial distribution and dynamics of cell phenotypes and communities in the mouse left ventricle following IRI. Heart sections were collected from 12 cardiac segments (basal, mid-cavity, apical, and apex of the anterior, lateral, and inferior wall) and 8 time points (before ischemia [I-0H], and postreperfusion [R-0H, R-2H, R-6H, R-12H, R-1D, R-3D, R-7D]), and stained with 29 metal-isotope-tagged antibodies. Cell community analysis was performed on reconstructed images, and the most disease-relevant cell type and target protein were selected for intervention of IRI.We obtained a total of 251 multiplexed images, and identified 197 063 single cells, which were grouped into 23 distinct cell communities based on the structure of cellular neighborhoods. The cellular architecture was heterogeneous throughout the ventricular wall and exhibited swift changes following IRI. Analysis of proteins with posttranslational modifications in single cells unveiled 13 posttranslational modification intensity clusters and highlighted increased H3K9me3 (tri-methylated lysine 9 of histone H3) as a key regulatory response in endothelial cells during the middle stage of IRI. Erasing H3K9 methylation, by silencing its methyltransferase Suv39h1 or overexpressing its demethylase Kdm4d in isolated endothelial cells, attenuated cardiac dysfunction and pathological remodeling following IRI. in vitro, H3K9me3 binding significantly increased at endothelial cell function-related genes upon hypoxia, suppressing tube formation, which was rescued by inhibiting H3K9me3.We mapped the spatiotemporal heterogeneity of cellular phenotypes in the adult heart upon IRI, and uncovered H3K9me3 in endothelial cells as a potential therapeutic target for alleviating pathological remodeling of the heart following myocardial IRI.","['endothelial cells', 'ischemia', 'myocardial infarction', 'reperfusion']",,"['ischemia', 'reperfusion']"
